Truck ID;Truck size;Hired;Date;Time;Latitude;Longitude;Payload;Route ID;Includes JIT;Loaded time;Free time;Loaded hours;Free hours;City
57;20;false;2023-04-17;18:10;38.3635364;-121.9571379;;89;false;;1:41;;1.69;Vacaville
57;20;false;2023-04-17;19:52;37.805813;-121.295187;;89;false;;;;;#Lathrop
57;20;false;2023-04-17;19:52;37.805813;-121.295187;PU8676;90;true;0:33;;0.55;;#Lathrop
57;20;false;2023-04-17;20:25;37.71084800000001;-121.0036631;;90;false;;0:33;;0.55;Modesto
57;20;false;2023-04-17;20:58;37.805813;-121.295187;;90;false;;;;;#Lathrop
57;20;false;2023-04-18;10:00;37.805813;-121.295187;PU8697;91;true;0:18;;0.31;;#Lathrop
57;20;false;2023-04-18;10:18;37.7334877;-121.1418232;;91;false;;0:18;;0.31;Ripon
57;20;false;2023-04-18;10:37;37.805813;-121.295187;;91;false;;;;;#Lathrop
57;20;false;2023-04-18;10:37;37.805813;-121.295187;PU9249;92;true;0:08;;0.13;;#Lathrop
57;20;false;2023-04-18;10:45;37.798216;-121.2192347;;92;false;;0:08;;0.13;Manteca
57;20;false;2023-04-18;10:53;37.805813;-121.295187;;92;false;;;;;#Lathrop
57;20;false;2023-04-18;10:53;37.805813;-121.295187;PU9069;93;true;2:08;;2.14;;#Lathrop
57;20;false;2023-04-18;13:02;36.8601274;-121.5356622;;93;false;;2:08;;2.14;San Juan Bautista
57;20;false;2023-04-18;15:10;37.805813;-121.295187;;93;false;;;;;#Lathrop
57;20;false;2023-04-18;15:10;37.805813;-121.295187;PU8883;94;true;1:27;;1.45;;#Lathrop
57;20;false;2023-04-18;16:38;38.0460615;-120.527055;;94;false;;1:27;;1.45;Angels Camp
57;20;false;2023-04-18;18:05;37.805813;-121.295187;;94;false;;;;;#Lathrop
57;20;false;2023-04-18;18:05;37.805813;-121.295187;PU8266;95;true;0:27;;0.45;;#Lathrop
57;20;false;2023-04-18;18:32;38.0100371;-121.3195858;;95;false;;0:27;;0.45;Stockton
57;20;false;2023-04-18;18:59;37.805813;-121.295187;;95;false;;;;;#Lathrop
57;20;false;2023-04-18;18:59;37.805813;-121.295187;PU9793;96;true;0:45;;0.75;;#Lathrop
57;20;false;2023-04-18;19:44;38.1443623;-121.3013475;;96;false;;;;;Lodi
57;20;false;2023-04-18;19:44;38.1443623;-121.3013475;PU8867;96;false;0:45;;0.75;;Lodi
57;20;false;2023-04-18;20:30;37.805813;-121.295187;;96;false;;;;;#Lathrop
60;20;false;2023-04-16;10:00;37.824687;-122.301563;PU8102;99;true;0:14;;0.23;;#Oakland
60;20;false;2023-04-16;10:14;37.7484349;-122.2075939;;99;false;;0:35;;0.58;Oakland
60;20;false;2023-04-16;10:49;37.5201217;-122.0413187;PU8055;99;false;0:49;;0.81;;Newark
60;20;false;2023-04-16;11:38;37.824687;-122.301563;;99;false;;;;;#Oakland
60;20;false;2023-04-16;11:38;37.824687;-122.301563;;100;false;;1:32;;1.54;#Oakland
60;20;false;2023-04-16;13:10;38.3790315;-122.832477;PU8374;100;false;1:32;;1.54;;Sebastopol
60;20;false;2023-04-16;14:43;37.824687;-122.301563;;100;false;;;;;#Oakland
60;20;false;2023-04-16;14:43;37.824687;-122.301563;;101;false;;1:02;;1.04;#Oakland
60;20;false;2023-04-16;15:46;38.2964761;-122.2776617;PU9582;101;false;1:02;;1.04;;Napa
60;20;false;2023-04-16;16:49;37.824687;-122.301563;;101;false;;;;;#Oakland
60;20;false;2023-04-16;16:49;37.824687;-122.301563;;102;false;;1:02;;1.04;#Oakland
60;20;false;2023-04-16;17:52;38.2964761;-122.2776617;PU9577;102;false;1:02;;1.04;;Napa
60;20;false;2023-04-16;18:55;37.824687;-122.301563;;102;false;;;;;#Oakland
62;10;false;2023-04-16;10:00;37.805813;-121.295187;PU8908;104;true;0:45;;0.75;;#Lathrop
62;10;false;2023-04-16;10:45;38.1443623;-121.3013475;;104;false;;;;;Lodi
62;10;false;2023-04-16;10:45;38.1443623;-121.3013475;PU8875;104;false;0:45;;0.75;;Lodi
62;10;false;2023-04-16;11:30;37.805813;-121.295187;;104;false;;;;;#Lathrop
62;10;false;2023-04-16;11:30;37.805813;-121.295187;;105;false;;1:21;;1.35;#Lathrop
62;10;false;2023-04-16;12:51;38.4117358;-121.391504;PU7024;105;false;1:21;;1.35;;Elk Grove
62;10;false;2023-04-16;14:12;37.805813;-121.295187;;105;false;;;;;#Lathrop
62;10;false;2023-04-16;14:12;37.805813;-121.295187;;106;false;;1:29;;1.49;#Lathrop
62;10;false;2023-04-16;15:42;38.4597499;-121.493103;PU7304;106;false;1:29;;1.49;;Sacramento
62;10;false;2023-04-16;17:11;37.805813;-121.295187;;106;false;;;;;#Lathrop
62;10;false;2023-04-16;17:11;37.805813;-121.295187;;107;false;;1:21;;1.35;#Lathrop
62;10;false;2023-04-16;18:33;38.4117358;-121.391504;PU7795;107;false;1:21;;1.35;;Elk Grove
62;10;false;2023-04-16;19:54;37.805813;-121.295187;;107;false;;;;;#Lathrop
65;10;false;2023-04-16;10:00;37.805813;-121.295187;PU8898;110;true;0:45;;0.75;;#Lathrop
65;10;false;2023-04-16;10:45;38.1443623;-121.3013475;;110;false;;;;;Lodi
65;10;false;2023-04-16;10:45;38.1443623;-121.3013475;PU8913;110;false;0:45;;0.75;;Lodi
65;10;false;2023-04-16;11:30;37.805813;-121.295187;;110;false;;;;;#Lathrop
65;10;false;2023-04-16;11:30;37.805813;-121.295187;;111;false;;0:45;;0.75;#Lathrop
65;10;false;2023-04-16;12:15;38.1443623;-121.3013475;PU8891;111;false;0:45;;0.75;;Lodi
65;10;false;2023-04-16;13:00;37.805813;-121.295187;;111;false;;;;;#Lathrop
65;10;false;2023-04-16;13:00;37.805813;-121.295187;;112;false;;0:45;;0.75;#Lathrop
65;10;false;2023-04-16;13:45;38.1443623;-121.3013475;PU8873;112;false;0:45;;0.75;;Lodi
65;10;false;2023-04-16;14:30;37.805813;-121.295187;;112;false;;;;;#Lathrop
65;10;false;2023-04-16;14:30;37.805813;-121.295187;;113;false;;2:09;;2.15;#Lathrop
65;10;false;2023-04-16;16:39;38.7041046;-120.8289118;PU7494;113;false;2:09;;2.15;;Placerville
65;10;false;2023-04-16;18:49;37.805813;-121.295187;;113;false;;;;;#Lathrop
65;10;false;2023-04-16;18:49;37.805813;-121.295187;;114;false;;0:45;;0.75;#Lathrop
65;10;false;2023-04-16;19:34;38.1443623;-121.3013475;PU9776;114;false;0:45;;0.75;;Lodi
65;10;false;2023-04-16;20:19;37.805813;-121.295187;;114;false;;;;;#Lathrop
66;10;false;2023-04-16;10:00;37.805813;-121.295187;PU9625;115;true;0:45;;0.75;;#Lathrop
66;10;false;2023-04-16;10:45;38.1443623;-121.3013475;;115;false;;;;;Lodi
66;10;false;2023-04-16;10:45;38.1443623;-121.3013475;PU9632;115;false;0:45;;0.75;;Lodi
66;10;false;2023-04-16;11:30;37.805813;-121.295187;;115;false;;;;;#Lathrop
66;10;false;2023-04-16;11:30;37.805813;-121.295187;;116;false;;1:53;;1.89;#Lathrop
66;10;false;2023-04-16;13:23;38.6462748;-121.4881974;PU9225;116;false;1:53;;1.89;;Sacramento
66;10;false;2023-04-16;15:17;37.805813;-121.295187;;116;false;;;;;#Lathrop
66;10;false;2023-04-16;15:17;37.805813;-121.295187;;117;false;;2:34;;2.57;#Lathrop
66;10;false;2023-04-16;17:52;36.6702603;-121.598793;PU7154;117;false;2:34;;2.57;;Salinas
66;10;false;2023-04-16;20:27;37.805813;-121.295187;;117;false;;;;;#Lathrop
67;10;false;2023-04-16;10:00;37.805813;-121.295187;PU6961;118;true;1:29;;1.49;;#Lathrop
67;10;false;2023-04-16;11:29;38.3577439;-120.8062811;;118;false;;0:46;;0.76;Jackson
67;10;false;2023-04-16;12:15;38.7041046;-120.8289118;PU7496;118;false;2:09;;2.15;;Placerville
67;10;false;2023-04-16;14:25;37.805813;-121.295187;;118;false;;;;;#Lathrop
67;10;false;2023-04-16;14:25;37.805813;-121.295187;;119;false;;1:48;;1.80;#Lathrop
67;10;false;2023-04-16;16:13;38.6196984;-121.3450718;PU8988;119;false;1:48;;1.80;;Carmichael
67;10;false;2023-04-16;18:02;37.805813;-121.295187;;119;false;;;;;#Lathrop
